Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Italy,3063.0,3535.0,3500.0,4207.0,5395.0,5907.0,6787.0,6271.0,6762.0,8229.0,9124.0,9757.0,10156.0,9793.0,12681.0,13639.0,15890.0,16963.0,16428.0,17277.0,17452.0,19613.0,20995.0,23804.0,21865.0,23455.0,23335.0,24283.0,24250.0,26501.0,24777.0,24009.0,21811.0,24061.0,23898.0,22882.0,22859.0,23760.0,25213.0,25467.0,25112.0,24835.0,25721.0,26151.0,27766.0,23910.0,25842.0,25714.0,24878.0,26759.0,26545.0,26066.0,27058.0,28604.0,29350.0,31624.0,31553.0,30590.0,19848.0,25750.0,28735.0,27252.0,24093.0,23714.0,22018.0,23373.0,24068.0,24532.0
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,300.0,332.0,279.0,293.0,465.0,472.0,482.0,498.0,515.0,520.0,520.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,655.0,568.0,805.0,198.0
Luxembourg,3077.0,3002.0,2659.0,2828.0,3225.0,3456.0,3493.0,3379.0,3663.0,4084.0,4113.0,4010.0,4032.0,4558.0,4585.0,4390.0,4481.0,4834.0,5521.0,5462.0,,241.0,5924.0,4624.0,0.0,4565.0,,4790.0,4949.0,4618.0,3790.0,3510.0,3294.0,3987.0,3945.0,3706.0,3302.0,3661.0,3721.0,3560.0,3379.0,3068.0,3293.0,3073.0,2613.0,2502.0,2580.0,2477.0,2600.0,2571.0,2725.0,2719.0,2675.0,2684.0,2194.0,2802.0,2858.0,2582.0,2141.0,2548.0,2521.0,2208.0,2090.0,2193.0,2127.0,2175.0,2172.0,2228.0
Netherlands,554.0,685.0,867.0,934.0,980.0,1050.0,1185.0,1438.0,1670.0,1942.0,1971.0,2087.0,2342.0,2647.0,3138.0,3256.0,3402.0,3707.0,4721.0,5042.0,,83.0,5623.0,5837.0,0.0,4817.0,,5590.0,5805.0,5272.0,5472.0,4353.0,4484.0,6739.0,5521.0,5283.0,5082.0,5518.0,5681.0,5412.0,5471.0,5439.0,6000.0,6171.0,6409.0,6326.0,6641.0,6377.0,6075.0,5666.0,6037.0,6117.0,6571.0,6848.0,6919.0,6372.0,7368.0,6853.0,5194.0,6651.0,6937.0,6879.0,6713.0,6964.0,6995.0,6917.0,6781.0,6813.0
Poland,2787.0,3179.0,3604.0,3949.0,4426.0,5014.0,5304.0,5663.0,6160.0,6681.0,7234.0,7684.0,8004.0,8573.0,9088.0,9850.0,10862.0,11008.0,11251.0,11750.0,,13424.0,14057.0,6.0,4.0,15640.0,17841.0,19251.0,19218.0,19485.0,15719.0,14794.0,16236.0,16533.0,16126.0,17144.0,17145.0,16873.0,15094.0,13633.0,10403.0,9867.0,9939.0,11113.0,11890.0,10432.0,11585.0,9915.0,8848.0,10498.0,8809.0,8368.0,9107.0,10593.0,8336.0,10008.0,10632.0,9728.0,7128.0,7993.0,8779.0,8366.0,7950.0,8558.0,9198.0,9001.0,10332.0,10167.0
Portugal,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,175.0,213.0,250.0,273.0,271.0,316.0,313.0,399.0,385.0,412.0,12.0,4.0,387.0,0.0,461.0,531.0,531.0,650.0,663.0,555.0,502.0,674.0,690.0,665.0,714.0,732.0,811.0,762.0,746.0,573.0,769.0,775.0,749.0,828.0,857.0,905.0,936.0,1044.0,1088.0,728.0,920.0,1000.0,1445.0,1408.0,1719.0,1853.0,2017.0,1614.0,1543.0,1942.0,1960.0,2050.0,2070.0,2030.0,2010.0,2076.0,2215.0
Romania,644.0,698.0,717.0,628.0,766.0,779.0,864.0,934.0,1420.0,1806.0,2126.0,2451.0,2705.0,3038.0,3427.0,3670.0,4088.0,4751.0,5541.0,6517.0,,6803.0,8161.0,0.0,0.0,10970.0,11457.0,11779.0,12909.0,13175.0,13025.0,13055.0,12593.0,14437.0,13795.0,14276.0,13885.0,14314.0,14415.0,9761.0,7110.0,5376.0,5446.0,5800.0,6555.0,6082.0,6674.0,6393.0,4354.0,4672.0,4935.0,5491.0,5691.0,6042.0,6280.0,6266.0,6261.0,5035.0,2761.0,3721.0,3828.0,3292.0,2985.0,3158.0,3352.0,3276.0,3361.0,3550.0
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3798.0,3922.0,3948.0,3975.0,3602.0,3835.0,3428.0,3569.0,3733.0,3989.0,4275.0,4588.0,4454.0,4485.0,5093.0,5089.0,4489.0,3747.0,4583.0,4236.0,4403.0,4511.0,4705.0,4562.0,4808.0,4974.0,5225.0
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,355.0,424.0,394.0,314.0,373.0,405.0,405.0,519.0,462.0,481.0,541.0,566.0,583.0,628.0,638.0,642.0,430.0,606.0,648.0,632.0,618.0,615.0,604.0,613.0,648.0,654.0
Spain,818.0,904.0,897.0,1102.0,1216.0,1245.0,1346.0,1560.0,1823.0,1919.0,2340.0,2311.0,2492.0,3150.0,3516.0,3847.0,4512.0,4977.0,5981.0,7394.0,,9526.0,10800.0,11502.0,11102.0,10982.0,11169.0,11339.0,12248.0,12643.0,12896.0,13178.0,13497.0,13497.0,14032.0,11882.0,11691.0,11886.0,12765.0,12936.0,12798.0,12272.0,12961.0,13445.0,13802.0,12154.0,13683.0,14827.0,14882.0,15874.0,16504.0,16408.0,16286.0,17621.0,17826.0,18391.0,18999.0,18640.0,14358.0,16343.0,15504.0,13639.0,14252.0,14249.0,14845.0,13616.0,14441.0,14320.0
