Country,1953,1960,1961,1962,1963,1964,1965,1966,1967,1968
World,235100,346600,351200,360200,386600,437900,458900,475500,493300,528700
Algeria,00,31,30,6,10,20,23,21,23,28
Argentina,174,277,442,644,913,1267,1346,1266,1328,1552
Australia,2076,3753,3947,4238,4653,5047,5459,5890,6266,6502
Austria,1283,3163,3101,2970,2947,3194,3221,3193,3023,3467
Belgium,4497,7188,7010,7362,7529,8731,9169,8917,9716,11573
Brazil,1016,2260,2443,2565,2824,3016,2983,3782,3696,4436
Bulgaria,18,253,340,23,461,475,588,699,1239,1461
Canada,3734,5270,5886,6507,7427,8281,9134,9090,8794,10207
Chile,313,422,363,495,489,544,441,540,596,526
China,1774,18450,9500,10000,12000,14000,15000,16000,11000,5000
Taiwan,0,000,174,171,183,177,207,221,228,242
Colombia,2,157,181,194,200,200,24204,174,207,199
Czechoslovakia,4366,6768,7043,7639,7600,8377,8599,9124,10002,10555
Denmark,180,317,323,367,359,396,412,405,401,457
Finland,147,254,277,304,308,357,342,313,394,695
France,9997,17281,17570,17240,17557,19780,19604,19585,19655,20410
East Germany,2573,3750,3867,4048,4051,4264,4313,4485,4592,4695
West Germany,18103,34100,33458,32563,31597,37339,36821,35316,36744,41159
Greece,24,41,65,65,65,76,167,239,205,8210
Hungary,1543,1887,2053,2333,2374,2365,2520,2649,2739,2903
India,1531,3286,4084,5149,215885,6033,6412,6607,6383,6447
Ireland,00,40,28,19,20,53,66,54,65,67
Israel,000,000,000,40,62,80,83,83,84,84
Italy,3500,8229,9124,9757,10157,9793,12681,13639,15890,16964
Japan,7662,22138,28268,27546,31501,39799,41161,47784,62154,66893
North Korea,4,641,776,1050,1022,1132,1230,1300,1450,1750
South Korea,1,50,66,149,160,129,192,216,320,365
Luxembourg,2659,4084,4113,4010,4032,4559,4585,4390,4481,4834
Mexico,7462,11500,1725,1851,1974,2280,2399,2750,3060,3285
Netherlands,867,1942,1971,2087,2342,2646,3138,3256,3402,3707
Norway,000,490,499,488,542,614,676,730,795,824
Pakistan,60008,1,12,12,12,12,13,513,590,100
Peru,000,60,76,73,73,75,81,61,62,84
Poland,3604,6681,7234,7684,8004,8573,9088,9850,10454,11007
Portugal,000,0,68,175,222,250,274,271,316,313
Romania,717,1806,2126,2451,2704,3039,3426,3670,4088,4751
South Africa,1298,2113,2475,2634,2834,3107,13293,3243,3663,4002
Southern Rhodesia,000,000,29,86,92,88,84,128,130,130
Spain,897,1919,2340,2311,2492,3150,3516,3847,4512,4940
Sweden,1782,3218,3562,3611,3901,4510,4712,4720,4855,5061
Switzerland,157,275,297,318,322,345,347,428,445,453
Thailand,000,000,000,7,7,7,3,4,6,6
Tunisia,252,80,25,000,000,000,000,000,45,69
Turkey,163,266,282,242,331,405,581,842,996,1109
Uganda,6,000,000,000,000,000,000,000,19,20
USSR,38128,65294,70756,76307,80231,85038,91021,96907,102224,106538
United Arab Republic,000,000,000,136,156,188,194,177,179,195
United Kingdom,17891,24695,22440,20820,22882,26651,27439,24705,24278,26277
United States,101250,90067,88917,89202,99120,115281,119260,121654,115406,119260
Uruguay,222222,10,9,9,7,14,13,10,14,8
Venezuela,0,47,75,225,364,441,625,537,690,860
Yugoslavia,515,1442,1532,1595,1588,1677,1769,1867,1832,1997
