Country,1948,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1977.1,1978,1978.1,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,0.0,0.0,0.0,0.0,0.0,577.0,90.0,114.0,121.0,109.0,157.0,181.0,194.0,200.0,200.0,204.0,174.0,207.0,199.0,206.0,239.0,248.0,275.0,263.0,244.0,266.0,356.0,330.0,210.0,390.0,330.0,354.0,420.0,402.0,422.0,482.0,507.0,530.0,632.0,689.0,712.0,711.0,701.0,652.0,657.0,687.0,693.0,714.0,695.0,734.0,636.0,534.0,660.0,638.0,664.0,668.0,730.0,842.0,1220.0,1245.0,1053.0,1052.0,1208.0,1287.0,1302.0,1236.0,1208.0,1211.0,1272.0,1253.0,1219.0,,,,
Czechoslovakia,2621.0,3455.0,3754.0,4366.0,4270.0,4474.0,4882.0,5166.0,5509.0,6136.0,6768.0,7043.0,7639.0,7600.0,8377.0,8599.0,9124.0,10002.0,10555.0,10802.0,11480.0,12064.0,12727.0,13158.0,13640.0,14323.0,14693.0,15054.0,15064.0,15294.0,135294.0,14817.0,14925.0,15270.0,14992.0,15024.0,14831.0,15036.0,15112.0,15416.0,15379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12071.0,,,,,,,,,,,,,,,,,,,,,,
Denmark,72.0,161.0,176.0,180.0,199.0,237.0,240.0,262.0,255.0,292.0,317.0,323.0,367.0,359.0,396.0,412.0,405.0,401.0,457.0,482.0,473.0,471.0,498.0,449.0,535.0,559.0,122.0,686.0,686.0,863.0,722.0,804.0,734.0,612.0,560.0,493.0,548.0,528.0,632.0,606.0,650.0,624.0,610.0,633.0,591.0,603.0,722.0,654.0,739.0,786.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,,,,,,,,,,,
East Germany,305.0,1552.0,1886.0,2163.0,2330.0,2508.0,2740.0,2894.0,3043.0,3207.0,3337.0,3444.0,4048.0,4051.0,4264.0,4313.0,4485.0,4592.0,4695.0,4824.0,5053.0,5350.0,5670.0,5892.0,6165.0,6480.0,6740.0,6850.0,6850.0,6976.0,6430.0,7024.0,7308.0,7467.0,7168.0,7219.0,7573.0,7852.0,7967.0,8243.0,8133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5566.0,,,,,,,,,,,,,,,,,,,,,,,
Finland,103.0,127.0,147.0,147.0,175.0,177.0,194.0,204.0,186.0,232.0,254.0,277.0,304.0,326.0,371.0,363.0,363.0,399.0,730.0,967.0,1167.0,1025.0,1456.0,1615.0,1656.0,1616.0,1649.0,2196.0,2196.0,2333.0,2333.0,2464.0,2508.0,2428.0,2414.0,2416.0,2639.0,2518.0,2586.0,2669.0,2798.0,2921.0,2860.0,2890.0,3077.0,3256.0,3420.0,3176.0,3301.0,3734.0,3952.0,3956.0,4096.0,3938.0,4003.0,4766.0,4832.0,4739.0,5054.0,4431.0,4417.0,3066.0,4029.0,3989.0,3759.0,3517.0,3807.0,3988.0,4101.0,4003.0,4146.0,,,,
France,7236.0,9835.0,10867.0,9997.0,10627.0,12592.0,13398.0,14096.0,14616.0,15218.0,17281.0,17570.0,17240.0,17557.0,19780.0,19604.0,19585.0,19655.0,20410.0,22511.0,23773.0,22859.0,24054.0,25264.0,27023.0,21528.0,23227.0,22094.0,22094.0,22841.0,22841.0,23360.0,23176.0,21258.0,18402.0,17582.0,19000.0,18808.0,17857.0,17693.0,19122.0,19335.0,19016.0,18434.0,17972.0,17106.0,18031.0,18100.0,17633.0,19767.0,20126.0,20200.0,20954.0,19343.0,20258.0,19758.0,20770.0,19481.0,19852.0,19250.0,17879.0,12840.0,15414.0,15780.0,15609.0,15685.0,16143.0,14984.0,14413.0,15505.0,15387.0,,,,
Greece,5.0,,,41.0,,,,75.0,113.0,90.0,125.0,140.0,65.0,209.0,210.0,210.0,210.0,160.0,218.0,210.0,435.0,476.0,605.0,753.0,687.0,721.0,614.0,573.0,1000.0,670.0,670.0,813.0,870.0,909.0,933.0,868.0,898.0,985.0,1009.0,907.0,959.0,956.0,999.0,980.0,924.0,980.0,848.0,939.0,848.0,1016.0,1109.0,951.0,1088.0,1281.0,1835.0,1701.0,1967.0,2266.0,2416.0,2554.0,2477.0,2000.0,1821.0,1934.0,1247.0,1030.0,1022.0,910.0,1158.0,1359.0,1467.0,,,,
Hungary,770.0,1290.0,1459.0,1543.0,1491.0,1629.0,1415.0,1375.0,1627.0,1759.0,1887.0,2053.0,2333.0,2374.0,2365.0,2520.0,2648.0,2739.0,2902.0,3033.0,3108.0,3111.0,3274.0,3327.0,3467.0,3673.0,3652.0,3723.0,3723.0,3877.0,4652.0,3907.0,3767.0,3645.0,3702.0,3617.0,3770.0,3647.0,3716.0,3622.0,3582.0,3315.0,2963.0,1931.0,1541.0,1753.0,1938.0,1861.0,1872.0,1690.0,1816.0,1813.0,1871.0,1956.0,2053.0,1989.0,1952.0,1958.0,2084.0,2227.0,2097.0,1403.0,1678.0,1746.0,1542.0,883.0,1152.0,1675.0,1274.0,1901.0,1989.0,,,,
India,1277.0,1524.0,1603.0,1531.0,1712.0,1732.0,1766.0,1742.0,1842.0,2473.0,3287.0,4084.0,5149.0,5885.0,6033.0,6412.0,6660.0,6440.0,6495.0,6514.0,6286.0,6175.0,6907.0,7354.0,6740.0,7991.0,9364.0,10009.0,39906.0,10099.0,10099.0,10126.0,9514.0,10780.0,10997.0,10237.0,10549.0,11936.0,12197.0,13121.0,14309.0,14608.0,14963.0,17100.0,18117.0,18155.0,19282.0,22003.0,23753.0,24415.0,23480.0,24296.0,26924.0,27291.0,28814.0,31779.0,32626.0,45780.0,49450.0,53468.0,57791.0,63527.0,68976.0,73471.0,77264.0,81299.0,87292.0,89026.0,95477.0,101455.0,109272.0,,,,
Ireland,2.0,,,0.0,,,,64.0,25.0,28.0,40.0,28.0,19.0,20.0,53.0,66.0,54.0,65.0,68.0,81.0,80.0,80.0,77.0,116.0,110.0,81.0,58.0,47.0,47.0,69.0,110.0,72.0,2.0,32.0,61.0,141.0,166.0,203.0,208.0,220.0,271.0,324.0,326.0,293.0,257.0,326.0,266.0,310.0,341.0,337.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,,,,,,,,,,,,
